全体通し番号,教科,教科での番号,試験の回数,試験の番号,大項目,中項目,問題,選択肢1,選択肢2,選択肢3,選択肢4,答え,解説
386,臨床医学総論,18,第33回,問題43,1 症候,F. 血液、造血器、免疫,易感染性をきたす疾患として最も適切なのはどれか。,1. 鉄欠乏性貧血,2. 特発性血小板減少性紫斑病,3. 急性骨髄性白血病,4. 巨赤芽球性貧血,3,"**問題385**を参照。易感染性をきたす疾患としては、1）皮膚・粘膜障害（**外傷**、**熱傷**、**抗がん薬**など）、2）好中球の減少あるいは機能不全（**白血病**、**再生不良性貧血**など）、3）体液免疫不全（**骨髄腫**、**リンパ腫**など）、4）細胞性免疫不全（**AIDS**、**SLE**など）が挙げられる。1、4は、**貧血**の原因疾患となり、2は、血小板（**止血作用**）に対する自己抗体によって血小板が減少し、皮膚や粘膜に出血傾向をきたす自己免疫疾患である。"
387,臨床医学総論,19,第27回,問題47,1 症候,G. 泌尿・生殖器,月経異常はどれか。,1. 持続期間5日,2. 周期の変動2日,3. 初経12歳,4. 閉経38歳,4,"閉経は平均**50〜53歳**で起こるとされており、4：閉経38歳は早期卵巣不全（早期閉経）であり、月経異常と考えられる。持続期間は3〜7日、周期は**25〜37日**、初経は**10〜14歳頃**が正常と考えられている。"
388,臨床医学総論,20,第34回,問題39,1 症候,G. 泌尿・生殖器,月経異常について正しいのはどれか。,1. 授乳は原発性無月経の原因となる。,2. 運動過多は過多月経の原因となる。,3. 続発性無月経では鉄欠乏性貧血が起こる。,4. 月経前症候群（PMS）の症状は月経が始まると消失する。,4,"無月経には月経が始まらない**原発性**無月経、月経は始まるがその後止まってしまう**続発性**無月経の2種類がある。授乳により起こるのは**続発性**であり、他には視床下部の機能不全（**ストレスや過剰な運動**）、多嚢胞性卵巣症候群、早発閉経、**下垂体**または**甲状腺**の機能不全、経口避妊薬など特定の薬剤に使用で起こる。過多月経では**子宮筋腫**が最も多く、鉄欠乏性貧血を起こす。月経前症候群（PMS）では、**易怒性（いらだち）**、不安、気分の変動、**抑うつ**、**頭痛**などの症状が約5日前から数時間前までの間に始まり、多くは月経が始まった数時間後に消失する。"
389,臨床医学総論,21,第31回,問題39,1 症候,G. 泌尿・生殖器,排尿障害のうち蓄尿障害はどれか。,1. 尿勢低下,2. 尿線途絶,3. 尿失禁,4. 残尿感,3,"排尿障害は、尿排出障害と蓄尿障害に分類される。蓄尿障害は、下部尿路の炎症や排尿にかかわる神経障害により膀胱に尿を適切にためておくことができず、不適当な場所や時間に不随意に尿が出てしまう（**3：尿失禁**）障害である。"
390,臨床医学総論,22,第27回,問題45,1 症候,I. 神経、運動器,球麻痺でみられるのはどれか。,1. 舌萎縮,2. 嗅覚障害,3. 聴力低下,4. 眼球運動障害,1,"球麻痺の「球」は延髄のことを指し、球麻痺とは延髄に存在する運動神経核と舌咽神経、迷走神経、舌下神経の障害により、構音障害、嚥下障害、舌の麻痺が起こるものをいう。ここでは、舌下神経の障害による**1：舌萎縮**が正しい。2：嗅覚障害は**嗅神経**、3：聴力低下は**内耳神経**、4：眼球運動障害は**動眼神経**、**滑車神経**、**外転神経**の障害により起こると考えられる。"
391,臨床医学総論,23,第28回,問題45,1 症候,I. 神経、運動器,脳血管障害により片側顔面と反対側半身の温痛覚障害をきたす部位はどれか。,1. 大脳,2. 小脳,3. 橋,4. 延髄,4,"脳血管障害により問題の症状をきたすのは、主に椎骨動脈の閉塞によって起こる**延髄外側症候群**（Wallenberg ワレンベルグ症候群）である。典型的な症状は、患側：①顔面温痛覚障害（三叉神経脊髄路核の障害）②ホルネル症候群（網様体の障害）③小脳性運動失調（下小脳脚の障害）④構音障害、嚥下障害（舌咽神経、迷走神経の障害）⑤回転性めまい、眼振（前庭神経核の障害）、反対側：①体幹・上下肢の温痛覚障害（外側脊髄視床路の障害）がある。"
392,臨床医学総論,24,第34回,問題40,1 症候,I. 神経、運動器,規則的な不随意運動はどれか。,1. 振戦,2. ジストニア,3. アテトーゼ,4. バリズム,1,"1：振戦は、甲状腺機能亢進症、アルコール依存症、**パーキンソン病**などでみられるリズムカルな**規則性**のある運動を生じる。2：ジストニアは、脳の**基底核**や**小脳**の機能異常により意思に反して筋肉が**持続的・不規則性**のある運動を生じる。3：アテトーゼは、脳性麻痺でみられ、**緩徐的・持続的・不規則性**のある運動を生じる。4：バリズムは視床下核の機能不全により上下肢を投げ出すような粗大運動を起こし、**急速的…不規則性**のある運動を生じる。"
393,臨床医学総論,25,第31回,問題43,2 診察法,B. 医療面接,医療面接について正しいのはどれか。,1. 患者が話したことは繰り返さない。,2. 別居している家族の健康状態も聞く。,3. 問診は特定の疾患を推定して始める。,4. 医学用語を用いて説明する。,2,"医療面接では、1：質問は系統立てて行い、要点を整理して要領よく記載すること、3：最初から特定の疾患を推定し、その疾患に都合のよいように質問を誘導しないこと、4：一般的に医学的知識に乏しいため、医学用語は出来るだけ用いないこととなっている。2：**家族歴**に該当し、祖父母、両親、同胞、配偶者、子供などを中心に、健康状態や罹患疾患、死因などを聴取することになる。"
394,臨床医学総論,26,第26回,問題52,2 診察法,C. 視診,低身長となる疾患はどれか。,1. マルファン症候群,2. シーハン症候群,3. 下垂体前葉機能不全症,4. バセドウ病,3,"3：下垂体前葉機能不全では、成長ホルモンとその増加作用を持つ甲状腺ホルモンの分泌低下により低身長となる。1：**マルファン症候群**では、逆に四肢が長い特徴を持った巨人症が生じる。"
395,臨床医学総論,27,第26回,問題53,2 診察法,C. 視診,視診所見と疾患の組合せで正しいのはどれか。,1. ヘバーデン結節 ── 関節リウマチ,2. 眼瞼下垂 ───── 甲状腺機能亢進症,3. メズサの頭 ──── 肝硬変,4. ばち指 ────── 糖尿病,3,"3：メズサ（メデューサ）の頭は、**肝門脈圧の亢進**により臍を中心に腹壁静脈の怒張をきたすものをいい、肝硬変でみられる。1：ヘバーデン結節は**変形性関節症**の一種であり、関節リウマチで生じるものではない。2：眼瞼下垂は**動眼神経麻痺**、**重症筋無力症**、**頸部交感神経麻痺**でみられる。甲状腺機能亢進症では、**眼球突出**がみられる。4：ばち指は**先天性心疾患**や**慢性肺疾患**などでみられるもので、手指の末節が太鼓のばちのように腫大し、爪が前後面、側面の両面からみて凸状になっている。"
396,臨床医学総論,28,第27回,問題49,2 診察法,C. 視診,疾患と視診所見の組合せで誤っているのはどれか。,1. 帯状疱疹 ──── 胸背部の発赤・水疱,2. 肝硬変 ───── 眼球結膜の黄染,3. パーキンソン病 ── 水牛様肩,4. バセドウ病 ─── 眼球突出,3,"3：パーキンソン病の視診所見では仮面様顔貌や振戦、前傾前屈姿勢、突進歩行などがある。水牛様肩は、クッシング症候群でみられる肩甲部への脂肪沈着である。"
397,臨床医学総論,29,第28回,問題49,2 診察法,C. 視診,疾患と視診所見の組合せで誤っているのはどれか。,1. アジソン病 ───── 恥毛脱落,2. バセドウ病 ───── 眉弓部突出,3. クッシング病 ──── 水牛様脂質沈着,4. 甲状腺機能低下症 ── 眉毛外側1/3脱落,2,"2：バセドウ病では**眼球突出**、**頻脈**、**甲状腺腫大**という特徴的な症状（**メルゼブルグの3徴**）がみられる。眉弓部の突出は、成長ホルモンの過剰による**先端巨大症**でみられる。"
398,臨床医学総論,30,第32回,問題48,2 診察法,C. 視診,疾患と症状の組合せで正しいのはどれか。,1. 溶血性貧血 ────── ばち指,2. 鉄欠乏性貧血 ───── スプーン状爪,3. 巨赤芽球性貧血 ──── 黄疸,4. 再生不良性貧血 ─── ハンター舌炎,2,"組織低酸素の症状として、皮膚や粘膜の蒼白、息切れ、めまい、倦怠感などが現れる。1：溶血性貧血では**黄疸**、2：鉄欠乏性貧血では**スプーン爪**、3：巨赤芽球性貧血（B12欠乏）では**舌乳頭萎縮（ハンター舌炎）**や運動失調、4：再生不良性貧血では顔面蒼白、息切れ、動悸、めまい、立ちくらみ、易疲労感、頭重感などがみられる。"
399,臨床医学総論,31,第30回,問題47,2 診察法,C. 視診,やせをきたしやすい疾患はどれか。,1. 早期胃癌,2. 脂質異常症,3. 甲状腺機能低下症,4. 神経性食欲不振症,4,"やせには、単純性やせ（体質的、食物不足、ダイエット）と症候性やせ（**神経性食欲不振症**、**消化器系疾患**、**内分泌系疾患**、**慢性消耗性疾患**）がある。1：早期の胃がん、2：脂質異常症、3：甲状腺機能低下症ではやせはみられない。"
400,臨床医学総論,32,第27回,問題48,2 診察法,C. 視診,異常歩行と疾患の組合せで正しいのはどれか。,1. 突進歩行 ────── 変形性膝関節症,2. あひる歩行 ──── 進行性筋ジストロフィー,3. はさみ脚歩行 ─── パーキンソン病,4. 硬性墜落性歩行 ── 脳性麻痺,2,"2：進行性筋ジストロフィーでは、四肢近位の筋、特に骨盤周囲筋の筋力低下が出現する。そのため、両側下肢の外転が障害されることから、対側下肢の立脚時に骨盤が引き上げられずあひる歩行となる。1：**突進歩行**はパーキンソン病で、3：**はさみ脚歩行**は脳性麻痺で、4：**硬性墜落性歩行**は一側下肢の短縮による脚長差で出現する。"
401,臨床医学総論,33,第28回,問題48,2 診察法,C. 視診,右股関節に屈曲拘縮がある患者の歩行時の特徴で正しいのはどれか。,1. 左の歩幅の減少,2. 右立脚相後期の腰椎前弯減少,3. はさみ脚歩行,4. 左トレンデレンブルグ徴候,1,"右股関節に屈曲拘縮がある患者では、右立脚時に股関節の伸展が制限され、遊脚側である左足の振出に制限が起こり、歩幅の減少が見られる。2：右立脚相後期では、股関節屈曲筋の拘縮により骨盤前傾が増加し、腰椎前弯は増加する。3：はさみ脚歩行は、**脳性麻痺**などでみられる痙性対麻痺歩行であり、4：トレンデレンブルグ徴候は中殿筋の麻痺、股関節疾患でみられる。"
402,臨床医学総論,34,第30回,問題39,2 診察法,C. 視診,脳性麻痺で、はさみ脚歩行を呈するのはどれか。,1. 痙直型,2. 失調型,3. 非緊張型,4. アテトーゼ型,1,"脳性麻痺の病型として、1：**痙直型**が全体の約50%、4：**アテトーゼ型**が約20%を示す。痙直型で見られる異常歩行を**痙性対麻痺歩行**と呼び、両膝が重なり合うようにして歩き、内側に向いた足尖を交互に交差させながら歩くことから、はさみの動きに似ているため、はさみ脚歩行と呼ばれる。"
403,臨床医学総論,35,第26回,問題50,2 診察法,C. 視診,チアノーゼについて正しいのはどれか。,1. 皮膚が白くなる。,2. 末梢循環不全で生じる。,3. 貧血で現れやすい。,4. じんま疹のとき生じる。,2,"チアノーゼは**還元ヘモグロビンの増加**により皮膚の色調が**暗紫赤色**を呈する状態で、末梢循環不全のほか、**先天性心疾患**、**肺疾患**などでみられる。1：皮膚が白くなるのは、**貧血**患者でみられ、**ヘモグロビン濃度の減少**により起こる。4：じんま疹は原発疹の一つで、皮膚が限局的に、かつ境界鮮明に隆起した状態をいう。"
404,臨床医学総論,36,第33回,問題45,2 診察法,C. 視診,チアノーゼの原因とならないのはどれか。,1. 貧血,2. 左心不全,3. ファロー四徴症,4. COPD,1,"**問題379**を参照。"
405,臨床医学総論,37,第26回,問題54,2 診察法,C. 視診,浮腫をきたすのはどれか。,1. 副甲状腺機能低下症,2. 高コレステロール血症,3. 非アルコール性脂肪肝,4. うっ血性心不全,4,"4：うっ血性心不全では浮腫が起こる。1：副甲状腺機能低下症は、副甲状腺ホルモンの作用不全により**低カルシウム血症**と**高リン血症**が引き起こされる疾患である。2：高コレステロール血症、3：非アルコール性脂肪肝では共に浮腫は起こりにくい。"
406,臨床医学総論,38,第25回,問題49,2 診察法,C. 視診,多毛症がみられるのはどれか。,1. クッシング症候群,2. ターナー症候群,3. 甲状腺機能低下症,4. クラインフェルター症候群,1,"多毛症とは、アンドロゲンの分泌過剰、もしくはアンドロゲン標的細胞の機能亢進による体毛増加と考えられている。1：**クッシング症候群**では、副腎アンドロゲンの分泌過剰により多毛となる。2：**ターナー症候群**は性染色体の異常であり、性腺発達不全、翼状頸、外反肘、低身長を主徴とする。3：**甲状腺機能低下症**では、甲状腺ホルモンの欠乏による新陳代謝の低下から徐脈、皮膚乾燥、筋力低下、体重増加などの症状に加えて、頭髪の脱毛や眉毛の外側1/3の脱落などがみられる。4：**クラインフェルター症候群**はX染色体が過剰となる性染色体異常により、長身、狭い肩幅、なで肩、女性化乳房、小陰茎、小精巣（小睾丸）などがみられる。いずれも多毛はみられない。"
407,臨床医学総論,39,第30回,問題43,2 診察法,C. 視診,リンパ節腫脹の原因で誤っているのはどれか。,1. 感染症,2. 白血病,3. 鼠径ヘルニア,4. 悪性腫瘍の転移,3,"3：鼠径ヘルニアは、鼠径部に脱出（腸管などの内臓器官が腹壁の隙間から脱出し、元に戻らなくなった状態）や疼痛、膨隆を生じる疾患である。鼠径ヘルニアの膨隆は、経過、触診における軟性、体位による変化、グル音の聴取などの特徴を有し、身体所見のみでの診断率は70〜90%とされている。嵌頓などの場合は、膨隆が固定し、腫瘤状となり、一部で疼痛を伴うこともあることから、鼠径部の疼痛を生じる疾患（鼠径部リンパ節腫脹、動脈瘤など）との鑑別に超音波やCT、MRIが必要となる。よって、リンパ節の腫脹は伴わないことから、3が誤っている。"
408,臨床医学総論,40,第25回,問題53,2 診察法,C. 視診,肝硬変の所見でないのはどれか。,1. クモ状血管腫,2. 眼球突出,3. 女性化乳房,4. 手掌紅斑,2,"肝硬変では、エストロゲンの代謝障害による血中エストロゲン濃度の上昇で末梢血管が拡張することから、1：クモ状血管腫、4：手掌紅斑がみられる。また、3：女性化乳房も同様の理由により出現すると考えられている。2：眼球突出は甲状腺機能亢進症（バセドウ病）の特徴的所見である。"
409,臨床医学総論,41,第30回,問題41,2 診察法,C. 視診,鷲手をきたす罹患神経はどれか。,1. 筋皮神経,2. 正中神経,3. 橈骨神経,4. 尺骨神経,4,"鷲手は、背側骨間筋が著明に萎縮し、手指関節が背屈、遠位指節間関節が屈曲した状態である。骨間筋を支配しているのは、4：尺骨神経である。"
410,臨床医学総論,42,第32回,問題44,2 診察法,C. 視診,縦隔腫瘍でみられるのはどれか。,1. 眼振,2. ベル現象,3. 眼球突出,4. ホルネル症候群,4,"縦隔とは、胸の中心にある左右の肺の間にある空間で、胸腺、心臓、大血管、食道、気管などの重要な臓器が含む。それらの臓器に由来してできる腫瘍のことを縦隔腫瘍と呼び、上縦隔（甲状腺腫）、前縦隔（胸腺腫、胸腺癌、胸腺嚢胞、奇形腫、胚細胞腫瘍）、中縦隔（悪性リンパ腫、心嚢嚢胞、気管支嚢胞）、後縦隔（神経鞘腫）など、それぞれの区画ごとに腫瘍が形成される。肺尖部の癌により交感神経が侵されるとホルネル症候群（病側の眼裂狭小、眼球陥凹、無汗症、縮瞳）を呈する。"
411,臨床医学総論,43,第26回,問題47,2 診察法,E. 聴診,気管支喘息の聴診所見はどれか。,1. 捻髪音,2. 水泡音,3. 笛音,4. いびき音,3,"病的状態で出現する呼吸音は副雑音で、肺から発生するラ音と肺以外から発生するその他の音がある。ラ音はさらに連続性ラ音と断続性ラ音とに分類され、連続性ラ音には気道狭窄と気道内分泌物貯留による高調な3：笛（様）音と低調な4：いびき（様）音があり、気管支喘息ではその両方が聴取される。また、断続性ラ音には1：捻髪音と2：水泡音の2種類があり、捻髪音は間質性肺炎を示唆するとされ、水泡音は気道の炎症性疾患（急性・慢性気管支炎、気管支拡張症など）、肺炎などで聴取される。本問は「3または4」が正解となる。"
412,臨床医学総論,44,第25回,問題48,2 診察法,E. 聴診,腸閉塞に特徴的な聴診所見はどれか。,1. グル音,2. 捻髪音,3. 水泡音,4. 金属音,4,"腸閉塞（イレウス）は、機械性イレウスと機能性イレウスに大別される。機械性イレウスは、腸の血行障害を伴わない単純性イレウスと血行障害を伴う複雑性（絞扼性）イレウスに分類される。機能性イレウスの大半は麻痺性イレウスである。聴診所見ではいずれも腸雑音（1：グル音）に特徴があるが、機械性イレウスでは亢進し、機能性イレウスでは腸雑音が減弱・消失する。グル音は正常でも、その他の原因でも異常所見がみられることから、ここでは機械性イレウスにみられる4：金属音が特徴的な聴診所見となる。"
413,臨床医学総論,45,第32回,問題41,2 診察法,E. 聴診,大動脈弁の音がよく聴取されるのはどれか。,1. 第2肋間胸骨右縁,2. 第2肋間胸骨左縁,3. 第3肋間胸骨左縁,4. 第4肋間胸骨左縁,1,"心臓の聴診部位として、1：第2肋間胸骨右縁は大動脈弁領域、2：第2肋間胸骨左縁は肺動脈弁領域、3：第3肋間胸骨左縁はエルブ領域、4：第4肋間胸骨左縁は三尖弁領域、左第5肋間と鎖骨中線の交点は僧帽弁領域となる。"
414,臨床医学総論,46,第32回,問題42,2 診察法,E. 聴診,呼吸音が減弱するのはどれか。,1. 無気肺,2. 気管支炎,3. 肺線維症,4. 気管支肺炎,1,"呼吸音の減弱ないし消失は、気胸、胸水貯留、胸膜肥厚などにより呼吸音の伝導が低下するために起こる。"
415,臨床医学総論,47,第33回,問題46,2 診察法,E. 聴診,音声振動が増強するのはどれか。,1. 気胸,2. 肺炎,3. 肺気腫,4. 胸水貯留,2,"音声振動とは、発声に伴う振動が検者の手に感じられることを指し、気胸、胸水貯留、胸膜の線維性肥厚、肺気腫などで発声の伝導障害が起こり、罹患側で減弱する。よって、1、3、4はいずれも減弱し、2では、打診（濁音）、聴診（水泡音、捻髪音）、触診（音声振動増強）となる。"
